dutch,arabic,transliteration,comment
rijst,أرز,aruzz,in spreektaal vaak: ruzz
vlees,لحم,lahm,
kip,دجاج,dajaaj,
vis,سمك,samak,
brood,خبز,khubz,
ei,بيضة,bayda,meervoud: بيض (bayd)
kaas,جبنة,jubna,ook: jibna (Egyptisch)
boter,زبدة,zubda,
olijfolie,زيت زيتون,zayt zaytoon,
soep,شوربة,shoorba,informeel; MSA: حساء (hasaa')
salade,سلطة,salata,
hummus,حمص,hummus,letterlijk: kikkererwten
tomaat,طماطم,tamaatim,Levantijns: bandoora
komkommer,خيار,khiyaar,
ui,بصل,basal,
knoflook,ثوم,thoom,
aardappel,بطاطا,bataata,Egyptisch: bataatis
fruit,فاكهة,faakiha,
appel,تفاحة,tuffaaha,meervoud: تفاح (tuffaah)
sinaasappel,برتقال,burtuqaal,
citroen,ليمون,laymoon,
banaan,موز,mawz,
druiven,عنب,'inab,
olijven,زيتون,zaytoon,
noten,مكسرات,mukassaraat,
water,ماء,maa',
sap,عصير,'asiir,
koffie,قهوة,qahwa,Egyptisch: ahwa
thee,شاي,shaay,
melk,حليب,haliib,
suiker,سكر,sukkar,
het menu alstublieft,القائمة من فضلك,al-qaa'ima min fadlak,mannelijke vorm; vrouw: min fadlik
de rekening alstublieft,الحساب من فضلك,al-hisaab min fadlak,mannelijke vorm; vrouw: min fadlik
ik wil graag...,أريد...,uriid...,Levantijns: biddi; Egyptisch: 'aayiz
heeft u...,هل عندكم...,hal 'indakum...,
is dit halal?,هل هذا حلال؟,hal haadha halaal?,
zonder vlees,بدون لحم,bidoon lahm,
ik ben vegetarisch,أنا نباتي,ana nabaati,mannelijke vorm; vrouw: nabaatiyya
nog een keer alstublieft,مرة أخرى من فضلك,marra ukhra min fadlak,
lekker,لذيذ,ladhiidh,mannelijke vorm; vrouw: ladhiidha
pikant,حار,haar,betekent ook: heet (temperatuur)
zoet,حلو,hulw,informeel ook: leuk/mooi
zuur,حامض,haamid,
zout (smaak),مالح,maalih,
bitter,مر,murr,
eetsmakelijk!,بالهناء والشفاء,bil-hanaa' wash-shifaa',formeel; Levantijns: sahteen
genoeg,كفاية,kifaaya,informeel; overal begrepen
restaurant,مطعم,mat'am,
