dutch,arabic,transliteration,comment
links,يسار,yasaar,
rechts,يمين,yamiin,
rechtdoor,على طول,'ala tuul,informeel; MSA: mubaasharatan
dichtbij,قريب,qariib,mannelijke vorm; vrouw: qariiba
ver,بعيد,ba'iid,mannelijke vorm; vrouw: ba'iida
hier,هنا,huna,
daar,هناك,hunaak,
taxi,تاكسي,taaksi,
bus,حافلة,haafila,informeel: baas (leenwoord)
trein,قطار,qitaar,
vliegveld,مطار,mataar,
station,محطة,mahatta,
kaartje,تذكرة,tadhkira,
weg,طريق,tariiq,
hotel,فندق,funduq,
ziekenhuis,مستشفى,mustashfa,
apotheek,صيدلية,saydaliyya,
moskee,مسجد,masjid,grote moskee: jaami'
strand,شاطئ,shaati',
stadscentrum,وسط المدينة,wasat al-madiina,
politiebureau,مركز الشرطة,markaz ash-shurta,
waar is...?,أين...؟,ayna...?,informeel Levantijns: wayn
hoe kom ik bij...?,كيف أصل إلى...؟,kayfa asilu ila...?,
hoe ver is het?,كم يبعد؟,kam yab'ud?,
stop hier alstublieft,قف هنا من فضلك,qif huna min fadlak,mannelijke vorm; informeel: wa''if huna
ik wil naar...,أريد أن أذهب إلى...,uriidu an adh-haba ila...,
draai links,انعطف يساراً,in'atif yasaaran,formeel; informeel: liff shimaal
draai rechts,انعطف يميناً,in'atif yamiinan,formeel; informeel: liff yamiin
ik heb een reservering,عندي حجز,'indi hajz,
een nacht,ليلة واحدة,layla waahida,
twee nachten,ليلتين,laylatain,tweevoud (dual)
kamer,غرفة,ghurfa,
sleutel,مفتاح,miftaah,
uitchecken,تسجيل الخروج,tasjiil al-khuruuj,
help!,النجدة!,an-najda!,informeel ook: saa'iduuni!
politie,شرطة,shurta,
dokter,طبيب,tabiib,
ik ben verdwaald,أنا ضائع,ana daa'i',mannelijke vorm; vrouw: ana daa'i'a
ik heb... nodig,أحتاج...,ahtaaju...,
bel een ambulance,اتصل بالإسعاف,ittasil bil-is'aaf,mannelijke vorm; vrouw: ittasili
het is een noodgeval,إنها حالة طوارئ,innaha haalat tawaari',
