dutch,italian,comment
Mag ik dit bed?,Posso avere questo letto?,
Heeft u een rustigere kamer?,Ha una camera più silenziosa?,
Waar is de badkamer?,Dov'è il bagno?,
De douche is koud.,La doccia è fredda.,
Ik wil morgen vroeg ontbijten.,Voglio fare colazione presto domani.,
Kunt u me om 7 uur wekken?,Può svegliarmi alle 7?,
Mag ik een extra deken?,Posso avere una coperta in più?,
Waar is het ontbijt?,Dov'è la colazione?,
Is er wifi?,C'è il wifi?,
Wat is het wachtwoord?,Qual è la password?,
Ik wil uitchecken.,Vorrei fare il check-out.,
Kunt u mijn bagage bewaren?,Può custodire il mio bagaglio?,
Is er een fitnessruimte?,C'è una palestra?,
Om hoe laat begint het diner?,A che ora inizia la cena?,
Ik heb een allergie.,Ho un'allergia.,
Kunt u een restaurant aanbevelen?,Può consigliarmi un ristorante?,
Ik wil graag wandelen. Heeft u een kaart?,Vorrei fare un'escursione. Ha una cartina?,
De verwarming doet het niet.,Il riscaldamento non funziona.,
