dutch,italian,comment
groot,grande,mannelijk en vrouwelijk
klein,piccolo,vrouwelijk: piccola
snel,veloce,
langzaam,lento,vrouwelijk: lenta
goed,buono,als bijwoord: bene
slecht,cattivo,als bijwoord: male
ja,sì,met accent om onderscheid met si (zich) te maken
nee,no,
en,e,wordt ed voor klinker
of,o,
maar,ma,
huis,casa,
water,acqua,
eten,cibo,als werkwoord: mangiare
man,uomo,meervoud: uomini
vrouw,donna,
kind,bambino,vrouwelijk: bambina; meervoud: bambini
ik,io,
jij,tu,
hij,lui,
zij,lei,ook beleefdheidsvorm (u)
wij,noi,
jullie,voi,
dit,questo,vrouwelijk: questa
dat,quello,vrouwelijk: quella
wat,cosa,
wie,chi,
waar,dove,
wanneer,quando,
waarom,perché,ook: omdat
hoe,come,
veel,molto,vrouwelijk: molta
weinig,poco,vrouwelijk: poca
nieuw,nuovo,vrouwelijk: nuova
oud,vecchio,vrouwelijk: vecchia
rood,rosso,vrouwelijk: rossa
blauw,blu,onveranderlijk
groen,verde,
geel,giallo,vrouwelijk: gialla
wit,bianco,vrouwelijk: bianca
zwart,nero,vrouwelijk: nera
