dutch,japanese,romaji,comment,example,example_nl
hoeveel kost dit?,これはいくらですか,kore wa ikura desu ka,,,
dat is te duur,たかすぎます,takasugimasu,,,
ik wil dit kopen,これをかいたいです,kore wo kaitai desu,,,
mag ik kijken?,みてもいいですか,mite mo ii desu ka,,,
heeft u korting?,わりびきはありますか,waribiki wa arimasu ka,,,
kunt u de prijs verlagen?,もうすこしやすくなりますか,mou sukoshi yasuku narimasu ka,,,
dat is te veel,たかすぎます,takasugimasu,,,
goed ik neem het,じゃあこれをください,jaa kore wo kudasai,,,
nee bedankt,いいえけっこうです,iie kekkou desu,beleefde weigering,,
ik kijk alleen,みているだけです,miteiru dake desu,,,
heeft u iets goedkopers?,もっとやすいのはありますか,motto yasui no wa arimasu ka,,,
waar is de markt?,いちばはどこですか,ichiba wa doko desu ka,,,
prijs,ねだん,nedan,,,
geld,おかね,okane,,,
wisselgeld,おつり,otsuri,,,
betalen,はらう,harau,werkwoord (u-groep),,
goedkoop,やすい,yasui,i-bijvoeglijk naamwoord,,
duur,たかい,takai,i-bijvoeglijk naamwoord; ook: hoog,,
korting,わりびき,waribiki,,,
winkel,みせ,mise,,,
markt,いちば,ichiba,,,
open,あいている,aiteiru,,,
gesloten,しまっている,shimatteiru,,,
mooi,きれい,kirei,na-bijvoeglijk naamwoord,,
nieuw,あたらしい,atarashii,i-bijvoeglijk naamwoord,,
oud,ふるい,furui,i-bijvoeglijk naamwoord; voor dingen,,
kleur,いろ,iro,,なにいろですか,welke kleur is het?
shirt,シャツ,shatsu,leenwoord,,
broek,ズボン,zubon,leenwoord uit het Frans,,
jurk,ドレス,doresu,leenwoord; ook: ワンピース,,
schoenen,くつ,kutsu,,,
tas,かばん,kaban,,,
sjaal,マフラー,mafuraa,leenwoord,,
groot (maat),おおきい,ookii,i-bijvoeglijk naamwoord,,
klein (maat),ちいさい,chiisai,i-bijvoeglijk naamwoord,,
