dutch,italian,comment
links,sinistra,
rechts,destra,
rechtdoor,dritto,ook: sempre dritto (steeds rechtdoor)
dichtbij,vicino,
ver,lontano,
hier,qui,ook: qua
daar,là,ook: lì
trein,treno,
bus,autobus,
vliegtuig,aereo,
auto,macchina,ook: auto
fiets,bicicletta,informeel: bici
schip,nave,
station,stazione,
luchthaven,aeroporto,
hotel,albergo,ook: hotel
kamer,camera,ook: stanza
kaartje,biglietto,
paspoort,passaporto,
bagage,bagaglio,
straat,via,ook: strada
stad,città,
dorp,paese,
plein,piazza,
brug,ponte,
kerk,chiesa,
museum,museo,
waar is...?,dov'è...?,
hoe kom ik bij...?,come arrivo a...?,
hoe ver is het?,quanto dista?,
stop hier alstublieft,si fermi qui per favore,in taxi
ik heb een reservering,ho una prenotazione,
help!,aiuto!,
dokter,medico,ook: dottore
ziekenhuis,ospedale,
apotheek,farmacia,
politie,polizia,
ik ben verdwaald,mi sono perso,vrouwelijk: mi sono persa
