dutch,arabic,transliteration,comment
Moet ik dit eten?,هل يجب أن آكل هذا؟,hal yajib an aakul haadha?,
Meneer wilt u uw natte handdoek van mijn matras af halen.,سيدي هل يمكنك إزالة منشفتك المبللة من مرتبتي؟,sayyidi hal yumkinuka izaalat minshafatika al-muballala min martabati?,سيدي (sayyidi) = voor een man; voor een vrouw: sayyidatii
Dit is *mijn* kapstokhaakje.,هذا *خطافي* لتعليق الملابس,haadha *khatwaafi* li-ta'liiq al-malaabis,nadruk op خطافي; het achtervoegsel -ي betekent "van mij"
Ik wil morgen graag uitslapen.,أريد النوم حتى وقت متأخر غداً,uriidu an-nawm hatta waqt muta'akhkhir ghadan,
Kan ik een andere kamer krijgen? Deze mensen snurken.,هل يمكنني الانتقال إلى غرفة أخرى؟ هؤلاء الأشخاص يشخرون.,hal yumkinuni al-intiqaal ilaa ghurfa ukhraa? haa'ulaa' al-ashkhaas yashkhuroon.,
Waar is het zwembad?,أين حمام السباحة؟,ayna hammaam as-sibaaha?,
Wat is hier nog meer te doen behalve wandelen.,ماذا يوجد هنا للفعل غير المشي؟,maadha yoojad huna lil-fi'l ghayr al-mashy?,
De douche is koud.,الدش بارد,ad-dush baarid,
"De kinderen willen niet mee, kunt u vandaag voor ze zorgen?",الأطفال لا يريدون المجيء، هل يمكنكم الاعتناء بهم اليوم؟,al-atfaal laa yuriiduun al-majii' hal yumkinukum al-i'tinaa' bihim al-yawm?,
Ik wil hier weg. Kunt u een taxi voor me bestellen?,أريد المغادرة من هنا. هل يمكنكم طلب سيارة أجرة لي؟,uriidu al-mughaadara min huna. hal yumkinukum talab sayyaarat ajra lii?,
