dutch,arabic,transliteration,comment
maandag,الإثنين,al-ithnayn,
dinsdag,الثلاثاء,ath-thulaathaa',
woensdag,الأربعاء,al-arbi'aa',
donderdag,الخميس,al-khamiis,
vrijdag,الجمعة,al-jumu'a,gebedsdag in de islam
zaterdag,السبت,as-sabt,
zondag,الأحد,al-ahad,
vandaag,اليوم,al-yawm,
morgen,غداً,ghadan,
gisteren,أمس,ams,
ochtend,صباح,sabaah,ook gebruikt in: sabaah al-khayr
avond,مساء,masaa',
uur,ساعة,saa'a,betekent ook: horloge
minuut,دقيقة,daqiiqa,
nu,الآن,al-aan,informeel Levantijns: halla'
later,لاحقاً,laahiqan,informeel: ba'deen
lente,ربيع,rabii',
zomer,صيف,sayf,
herfst,خريف,khariif,
winter,شتاء,shitaa',
heet,حار,haar,betekent ook: pikant
koud,بارد,baarid,
regen,مطر,matar,
zon,شمس,shams,vrouwelijk woord
wind,رياح,riyaah,meervoud; enkelvoud: riih
mooi weer,طقس جميل,taqs jamiil,
rood,أحمر,ahmar,mannelijke vorm; vrouw: hamraa'
blauw,أزرق,azraq,mannelijke vorm; vrouw: zarqaa'
groen,أخضر,akhdar,mannelijke vorm; vrouw: khadraa'
geel,أصفر,asfar,mannelijke vorm; vrouw: safraa'
zwart,أسود,aswad,mannelijke vorm; vrouw: sawdaa'
wit,أبيض,abyad,mannelijke vorm; vrouw: baydaa'
oranje,برتقالي,burtuqaali,mannelijke vorm; vrouw: burtuqaaliyya
bruin,بني,bunni,mannelijke vorm; vrouw: bunniyya
roze,وردي,wardi,mannelijke vorm; vrouw: wardiyya
paars,بنفسجي,banafsaji,mannelijke vorm; vrouw: banafsajiyya
een,واحد,waahid,vrouwelijk: waahida
twee,اثنان,ithnaan,vrouwelijk: ithnataan
drie,ثلاثة,thalaatha,
vier,أربعة,arba'a,
vijf,خمسة,khamsa,
zes,ستة,sitta,
zeven,سبعة,sab'a,
acht,ثمانية,thamaaniya,
negen,تسعة,tis'a,
tien,عشرة,'ashara,
elf,أحد عشر,ahada 'ashar,
twaalf,اثنا عشر,ithnaa 'ashar,
dertien,ثلاثة عشر,thalaathat 'ashar,
veertien,أربعة عشر,arba'at 'ashar,
vijftien,خمسة عشر,khamsat 'ashar,
zestien,ستة عشر,sittat 'ashar,
zeventien,سبعة عشر,sab'at 'ashar,
achttien,ثمانية عشر,thamaaniyat 'ashar,
negentien,تسعة عشر,tis'at 'ashar,
twintig,عشرون,'ishruun,
dertig,ثلاثون,thalaathuun,
veertig,أربعون,arba'uun,
vijftig,خمسون,khamsuun,
honderd,مئة,mi'a,
duizend,ألف,alf,
