dutch,japanese,romaji,comment,example,example_nl
Moet ik dit eten?,これを食べないといけませんか？,kore wo tabenai to ikemasen ka?,,,
Meneer wilt u uw natte handdoek van mijn matras af halen.,濡れたタオルを私のマットレスから取っていただけますか？,nureta taoru wo watashi no mattoresu kara totte itadakemasu ka?,,,
Dit is *mijn* kapstokhaakje.,これは*私の*フックです。,kore wa *watashi no* fukku desu.,nadruk op 私の (watashi no = van mij),,
Ik wil morgen graag uitslapen.,明日は寝坊したいです。,ashita wa nebou shitai desu.,寝坊 (nebou) = uitslapen / te laat wakker worden,,
Kan ik een andere kamer krijgen? Deze mensen snurken.,別の部屋に変えていただけますか？この人たちがいびきをかいています。,betsu no heya ni kaete itadakemasu ka? kono hitotachi ga ibiki wo kaite imasu.,いびき (ibiki) = snurken; いびきをかく = snurken (werkwoord),,

Waar is het zwembad?,プールはどこですか？,puuru wa doko desu ka?,,,
Wat is hier nog meer te doen behalve wandelen.,ハイキング以外に何かすることはありますか？,haikingu igai ni nanika suru koto wa arimasu ka?,,,
De douche is koud.,シャワーが冷たいです。,shawaa ga tsumetai desu.,,,
"De kinderen willen niet mee, kunt u vandaag voor ze zorgen?",子供たちは一緒に来たくないのですが、今日面倒を見ていただけますか？,kodomotachi wa issho ni kitakunai no desu ga kyou mendou wo mite itadakemasu ka?,,,
Ik wil hier weg. Kunt u een taxi voor me bestellen?,ここを出たいです。タクシーを呼んでいただけますか？,koko wo detai desu. takushii wo yonde itadakemasu ka?,,,
