dutch,arabic,transliteration,comment
hoeveel kost dit?,بكم هذا؟,bikam haadha?,هذا is mannelijk; vrouwelijk: haadhihi
dat is te duur,هذا غالي جداً,haadha ghaali jiddan,
ik wil dit kopen,أريد أن أشتري هذا,uriidu an ashtarii haadha,formeel MSA; Levantijns: biddi ashtarii
mag ik kijken?,ممكن أنظر؟,mumkin andhur?,
heeft u korting?,عندك تخفيض؟,'indak takhfiid?,mannelijke vorm; vrouw: 'indik
kunt u de prijs verlagen?,ممكن تنزل السعر؟,mumkin tinazzil is-si'r?,
laatste prijs?,آخر سعر؟,aakhir si'r?,veelgebruikt bij onderhandelen
dat is te veel,هذا كثير,haadha kathiir,
goed ik neem het,طيب آخذه,tayyib aakhudhu,
nee bedankt,لا شكراً,laa shukran,
ik kijk alleen,أنا بس بتفرج,ana bas batfarraj,Levantijns dialect
heeft u iets goedkopers?,عندك شي أرخص؟,'indak shi arkhas?,Levantijns; MSA: shay'
waar is de markt?,أين السوق؟,ayna as-suuq?,
prijs,سعر,si'r,
geld,فلوس,fuluus,informeel; MSA: نقود (nuquud)
wisselgeld,باقي,baaqi,letterlijk: het resterende
betalen,يدفع,yadfa',hij-vorm; masdar: daf'
goedkoop,رخيص,rakhiis,
duur,غالي,ghaali,
korting,تخفيض,takhfiid,
winkel,محل,mahall,
markt,سوق,suuq,
open,مفتوح,maftuuh,
gesloten,مغلق,mughlaq,informeel Levantijns: msakkar
mooi,جميل,jamiil,mannelijke vorm; vrouw: jamiila
nieuw,جديد,jadiid,mannelijke vorm; vrouw: jadiida
oud,قديم,qadiim,mannelijke vorm; vrouw: qadiima
kleur,لون,lawn,meervoud: alwaan
shirt,قميص,qamiis,
broek,بنطلون,bantaloon,leenwoord
jurk,فستان,fustaan,
schoenen,حذاء,hidhaa',
tas,شنطة,shanta,informeel; MSA: haqiiba
sjaal,شال,shaal,
