dutch,arabic,transliteration,comment,root,example,example_nl
groot,كبير,kabiir,mannelijke vorm; vrouw: kabiira,k-b-r,البيت كبير,het huis is groot
vrouw,امرأة,imra'a,,,,
man,رجل,rajul,,,,
meisje,فتاة,fataat,,,,
snel,سريع,sarii',mannelijke vorm; vrouw: sarii'a,s-r-',القطار سريع,de trein is snel
koud,بارد,baarid,mannelijke vorm; vrouw: baarida,b-r-d,الماء بارد,het water is koud
vis,سمك,samak,,s-m-k,,
kip,دجاج,dajaaj,,,,
buurman,جار,jaar,,,,
echtgenoot,زوج,zawj,vrouw: زوجة (zawja),z-w-j,,
ik,أنا,ana,,,,
jij,أنت,anta,mannelijke vorm; vrouw: anti,,,
hij,هو,huwa,,,,
zij,هي,hiya,,,,
wij,نحن,nahnu,,,,
jullie,أنتم,antum,mannelijk meervoud; vrouwelijk meervoud: أنتن (antunna)
zij (meervoud),هم,hum,,,,
dit,هذا,haadha,mannelijke vorm; vrouw: haadhihi,,,
dat,ذلك,dhaalika,,,,
en,و,wa,,,,
ja,نعم,na'am,,,,
nee,لا,laa,,,,
wat,ماذا,maadha,,,ماذا تريد؟,wat wil je?
wie,من,man,,,,
waar,أين,ayna,,,أين البيت؟,waar is het huis?
huis,بيت,bayt,,b-y-t,البيت كبير,het huis is groot
boek,كتاب,kitaab,,k-t-b,الكتاب على الطاولة,het boek ligt op tafel
water,ماء,maa',,,أريد ماء,ik wil water
eten,طعام,ta'aam,,t-'-m,الطعام لذيذ,het eten is lekker
brood,خبز,khubz,,kh-b-z,,
melk,حليب,haliib,,h-l-b,,
thee,شاي,shaay,,,أريد شاي,ik wil thee
koffie,قهوة,qahwa,,q-h-w,القهوة ساخنة,de koffie is heet
school,مدرسة,madrasa,,d-r-s,المدرسة قريبة,de school is dichtbij
werk,عمل,'amal,,'-m-l,,
vriend,صديق,sadiiq,mannelijke vorm; vrouw: sadiiqah,s-d-q,هو صديقي,hij is mijn vriend
kind,طفل,tifl,,t-f-l,,
dag,يوم,yawm,,y-w-m,يوم جميل,een mooie dag
nacht,ليلة,layla,,l-y-l,,
klein,صغير,saghiir,mannelijke vorm; vrouw: saghiira,s-gh-r,البيت صغير,het huis is klein
goed,جيد,jayyid,mannelijke vorm; vrouw: jayyida,j-y-d,,
leraar,معلم,mu'allim,vrouw: mu'allima,'-l-m,,
slim,ذكي,dhaki,mannelijke vorm; vrouw: dhakiyya,dh-k-y,,
jongen,ولد,walad,,w-l-d,,
jij bent,أنت,anta,mannelijke vorm; vrouw: anti,,,
waarvandaan,من أين,min ayna,,,,
dank je/u,شكرا,shukran,,sh-k-r,,
dank u,شكرا لك,shukran lak,,sh-k-r,,
hallo,مرحبا,marhaban,,,,
geen dank,لا شكر على واجب,la shukra 'ala waajib,formeel,sh-k-r,,
slecht,سيئ,sayyi',mannelijke vorm; vrouw: sayyi'a,,,
ik heb,عندي,'indi,,,عندي كتاب,ik heb een boek
zij heeft,عندها,'indaha,,,عندها بيت,zij heeft een huis
land,بلد,balad,,b-l-d,,
waar kom jij vandaan,من أين أنت,min ayna anta,mannelijke vorm; vrouw: min ayna anti,,,
tot ziens,إلى اللقاء,ila al-liqaa',,l-q-y,,
